min_diff,dtv,case
0.1,0.13502257238799567,small
0.04714866363457394,0.13502257238799567,small
0.022229964825261957,0.14107222880658346,small
0.010481131341546858,0.14333615864447846,small
0.004941713361323838,0.14244514260680619,small
0.002329951810515372,0.13514298786399268,small
0.0010985411419875584,0.13256893771518352,small
0.0005179474679231213,0.13155528224526516,small
0.0002442053094548652,0.13121174248221623,small
0.00011513953993264481,0.1311182742272211,small
5.4286754393238594e-05,0.13115485430945795,small
2.5595479226995385e-05,0.13126417516603248,small
1.2067926406393289e-05,0.1313619301361943,small
5.689866029018305e-06,0.1314140001860605,small
2.6826957952797274e-06,0.1314384355648675,small
1.2648552168552984e-06,0.13145050679889952,small
5.963623316594649e-07,0.13145590799708587,small
2.811768697974231e-07,0.13145860946734408,small
1.3257113655901109e-07,0.1314598254609603,small
6.250551925273976e-08,0.13146043534556967,small
2.947051702551816e-08,0.13146071990953787,small
1.3894954943731388e-08,0.13146085271139815,small
6.5512855685955225e-09,0.1314609125874058,small
3.088843596477485e-09,0.1314609426415207,small
1.4563484775012444e-09,0.1314609566696647,small
6.866488450042998e-10,0.13146096321754933,small
3.2374575428176533e-10,0.1314609661700162,small
1.5264179671752366e-10,0.1314609676520314,small
7.196856730011528e-11,0.13146096834379387,small
3.3932217718953296e-11,0.131460968666689,small
1.5998587196060638e-11,0.1314609688122844,small
7.543120063354637e-12,0.1314609688853673,small
3.5564803062231358e-12,0.13146096891948034,small
1.67683293681101e-12,0.13146096893540332,small
7.906043210907701e-13,0.13146096894258316,small
3.727593720314953e-13,0.13146096894618708,small
1.7575106248547965e-13,0.1314609689478693,small
8.28642772854686e-14,0.13146096894862783,small
3.906939937054621e-14,0.13146096894900863,small
1.8420699693267238e-14,0.13146096894918635,small
8.685113737513556e-15,0.13146096894926934,small
4.094915062380436e-15,0.13146096894930673,small
1.9306977288832534e-15,0.1314609689493248,small
9.102981779915226e-16,0.13146096894933387,small
4.291934260128796e-16,0.13146096894933804,small
2.023589647725164e-16,0.13146096894934023,small
9.540954763499963e-17,0.13146096894934123,small
4.498432668969453e-17,0.13146096894934123,small
2.1209508879201925e-17,0.13146096894934123,small
1e-17,0.13146096894934123,small
0.1,0.07353158663973822,big
0.04714866363457394,0.07353158663973822,big
0.022229964825261957,0.0744688310991203,big
0.010481131341546858,0.06774368654013282,big
0.004941713361323838,0.048435530398414854,big
0.002329951810515372,0.04849262836889845,big
0.0010985411419875584,0.048047524238245376,big
0.0005179474679231213,0.0480468758882175,big
0.0002442053094548652,0.04824102653531094,big
0.00011513953993264481,0.04837534250022919,big
5.4286754393238594e-05,0.04848373887311715,big
2.5595479226995385e-05,0.048577761300362,big
1.2067926406393289e-05,0.04865077304129316,big
5.689866029018305e-06,0.04869537032179534,big
2.6826957952797274e-06,0.0487176710567551,big
1.2648552168552984e-06,0.04872868549524667,big
5.963623316594649e-07,0.048733923537387334,big
2.811768697974231e-07,0.048736494907723533,big
1.3257113655901109e-07,0.04873770116097097,big
6.250551925273976e-08,0.048738268275676296,big
2.947051702551816e-08,0.048738535183665666,big
1.3894954943731388e-08,0.048738657921516514,big
6.5512855685955225e-09,0.04873871867266115,big
3.088843596477485e-09,0.04873874728887855,big
1.4563484775012444e-09,0.04873876076898737,big
6.866488450042998e-10,0.048738767119160885,big
3.2374575428176533e-10,0.04873877011061956,big
1.5264179671752366e-10,0.04873877151985261,big
7.196856730011528e-11,0.04873877218372391,big
3.3932217718953296e-11,0.04873877249646528,big
1.5998587196060638e-11,0.048738772643793886,big
7.543120063354637e-12,0.048738772713198646,big
3.5564803062231358e-12,0.0487387727458943,big
1.67683293681101e-12,0.048738772761296886,big
7.906043210907701e-13,0.04873877276855293,big
3.727593720314953e-13,0.04873877277015802,big
1.7575106248547965e-13,0.04873877277015802,big
8.28642772854686e-14,0.04873877277015802,big
3.906939937054621e-14,0.04873877277015802,big
1.8420699693267238e-14,0.04873877277015802,big
8.685113737513556e-15,0.04873877277015802,big
4.094915062380436e-15,0.04873877277015802,big
1.9306977288832534e-15,0.04873877277015802,big
9.102981779915226e-16,0.04873877277015802,big
4.291934260128796e-16,0.04873877277015802,big
2.023589647725164e-16,0.04873877277015802,big
9.540954763499963e-17,0.04873877277015802,big
4.498432668969453e-17,0.04873877277015802,big
2.1209508879201925e-17,0.04873877277015802,big
1e-17,0.04873877277015802,big
