iteration,norm,normB
166,1.5447102368556487e-07,2.3817320091349734e-08
167,1.4713286671144252e-07,2.268439452226007e-08
168,1.4014605176587127e-07,2.1605849396688515e-08
169,1.3349350169170508e-07,2.057902845258256e-08
170,1.2715899284738609e-07,1.9601410242690685e-08
171,1.2112710995820215e-07,1.8670599585069777e-08
172,1.153832056831994e-07,1.7784321091219247e-08
173,1.0991335835755651e-07,1.694041389338122e-08
174,1.0470433610421868e-07,1.6136823918679015e-08
175,9.974355961470038e-08,1.5371600226264115e-08
176,9.501907020014588e-08,1.4642887711079945e-08
177,9.051949677574303e-08,1.3948923813688956e-08
178,8.623402637198464e-08,1.3288032591171503e-08
179,8.215237589910278e-08,1.2658620882898134e-08
180,7.826476469583175e-08,1.2059173472393863e-08
181,7.456188952810323e-08,1.1488250070931555e-08
182,7.10349008151284e-08,1.0944480721327988e-08
183,6.767537956458378e-08,1.0426562064450149e-08
184,6.447531496586785e-08,9.933254890926377e-09
185,6.14270856826267e-08,9.463380273112073e-09
186,5.852343993628097e-08,9.015816224187868e-09
187,5.575747497292351e-08,8.589495854340215e-09
188,5.31226238983342e-08,8.183403593509601e-09
189,5.061263506594686e-08,7.796573212192793e-09
190,4.8221558758463686e-08,7.428085405560662e-09
191,4.5943732450610515e-08,7.077064976562693e-09
192,4.377376490221116e-08,6.742679257986589e-09
193,4.170652469857148e-08,6.424135359091333e-09
194,3.9737126692044395e-08,6.120679093225377e-09
195,3.786091972858407e-08,5.831592120624438e-09
196,3.607347631505364e-08,5.556190735335804e-09
197,3.437058034499367e-08,5.2938241319525075e-09
198,3.274821754041777e-08,5.043872918399293e-09
199,3.120256647218898e-08,4.805746754184504e-09
200,2.972998683088008e-08,4.578884581177455e-09
201,2.8327013829286783e-08,4.3627509802229015e-09
202,2.699034627453739e-08,4.156837087487786e-09
203,2.571684186462649e-08,3.9606580439953256e-09
204,2.4503507915869122e-08,3.773752118297078e-09
205,2.3347492726674233e-08,3.595679486766255e-09
206,2.224608300474941e-08,3.4260216745630115e-09
207,2.1196692583547658e-08,3.2643797533384283e-09
208,2.019685899190519e-08,3.1103741329026288e-09
209,1.924423687213522e-08,2.963643053957953e-09
210,1.8336592333423974e-08,2.823842025304096e-09
211,1.7471797796115117e-08,2.6906432196871173e-09
212,1.6647825699953536e-08,2.5637337699252488e-09
213,1.5862746993121315e-08,2.4428164457914537e-09
214,1.5114720861871366e-08,2.3276076259547667e-09
215,1.4401997331129173e-08,2.2178372973532754e-09
216,1.3722906777085818e-08,2.1132482618477577e-09
217,1.307585997435766e-08,2.0135955356180435e-09
218,1.2459343215817473e-08,1.918645721021681e-09
219,1.1871912991789729e-08,1.8281768144456767e-09
220,1.1312196710593583e-08,1.741976542798468e-09
221,1.0778883881763393e-08,1.6598436020282515e-09
222,1.0270728588926073e-08,1.5815857081365493e-09
223,9.786542328647334e-09,1.5070197365787087e-09
224,9.325193340566062e-09,1.435971268682048e-09
225,8.885603041113747e-09,1.368274635951419e-09
226,8.46674517120773e-09,1.3037706843157074e-09
227,8.067640395414413e-09,1.2423094806373096e-09
228,7.687356371961943e-09,1.1837469091450053e-09
229,7.325004920573455e-09,1.1279463057902737e-09
230,6.97973978822115e-09,1.074777239835308e-09
231,6.650754553197896e-09,1.0241155156878904e-09
232,6.337281760582253e-09,9.758426706455567e-10
233,6.038587745855179e-09,9.298462935877643e-10
234,5.753977520506225e-09,8.860185638681088e-10
