dtv,case
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
