iteration,norm,normB
230,1.3224796518278648e-10,3.6744101033955146e-11
231,1.22429574503243e-10,3.401618168291573e-11
232,1.1334016088245045e-10,3.149068342327373e-11
233,1.0492550851142032e-10,2.9152830176552845e-11
234,9.713561269533858e-11,2.6988409700273753e-11
235,8.99241221776233e-11,2.498473478393599e-11
236,8.324793476807728e-11,2.3129831057229322e-11
237,7.706740696643092e-11,2.1412618279851085e-11
238,7.134583331194375e-11,1.982294831372755e-11
239,6.604891436463803e-11,1.8351171043564237e-11
240,6.114526614967383e-11,1.698879061996792e-11
241,5.6605738062990787e-11,1.5727467867513844e-11
242,5.240314100413041e-11,1.455982115990755e-11
243,4.851272073263261e-11,1.3478888720260799e-11
244,4.491098401845569e-11,1.2478218908853254e-11
245,4.157675135108967e-11,1.155180558709184e-11
246,3.848999803151543e-11,1.0694167628982044e-11
247,3.5632414312024044e-11,9.900192851243082e-12
248,3.298697759209649e-11,9.1652020238199e-12
249,3.0537902930921426e-11,8.484697743006831e-12
250,2.8270728467265294e-11,7.854820429659517e-12
251,2.6171844413070003e-11,7.2716643571919225e-12
252,2.4228795581682505e-11,6.731753626359902e-12
253,2.2429977396330533e-11,6.23204400840186e-12
254,2.0764731176291888e-11,5.769314481415442e-12
255,1.922312114277824e-11,5.341006203359022e-12
256,1.7796015318039274e-11,4.9444986475003234e-12
257,1.6474720578042678e-11,4.577364132552747e-12
258,1.525164510651167e-11,4.237571795550152e-12
259,1.4119311487954244e-11,3.92293017480137e-12
260,1.3071088891817544e-11,3.6317275043679318e-12
261,1.2100628040630793e-11,3.362047592127988e-12
262,1.1202253050261081e-11,3.112457223720985e-12
263,1.037056364660195e-11,2.8814081458486694e-12
264,9.600677319290252e-12,2.667498246172064e-12
265,8.887889812810533e-12,2.4693930461783973e-12
266,8.227984994540326e-12,2.286103377548786e-12
267,7.617125962549178e-12,2.1163727444706265e-12
268,7.05162715170706e-12,1.9592268162740714e-12
269,6.528148582562918e-12,1.813766240506081e-12
270,6.043421299100335e-12,1.6791109129602784e-12
271,5.594761954395669e-12,1.5544939441299003e-12
272,5.179398763950493e-12,1.439046092948541e-12
273,4.794889764930674e-12,1.3322326486811754e-12
274,4.438909216098456e-12,1.233314300389042e-12
275,4.109358955973422e-12,1.141795802880096e-12
276,3.804265380504962e-12,1.0569841521469804e-12
277,3.5217787959611696e-12,9.784998535780712e-13
278,3.2603834724765877e-12,9.058549858334613e-13
279,3.0183113405661972e-12,8.386345386728408e-13
280,2.7942379123050374e-12,7.763477346015979e-13
281,2.5867342443499407e-12,7.187152670295347e-13
282,2.394709950213981e-12,6.65338276934745e-13
283,2.216933065369198e-12,6.159236121704992e-13
284,2.052330328330394e-12,5.70261059769424e-13
285,1.8999833006815173e-12,5.278919702841533e-13
286,1.7588530687132338e-12,4.886854216085275e-13
287,1.6283417449209458e-12,4.5242698824713e-13
288,1.5074785270516708e-12,4.1882421655376937e-13
289,1.3955128139807878e-12,3.877800894826875e-13
290,1.2919268794140809e-12,3.58931605690941e-13
291,1.196029307369052e-12,3.322939385174829e-13
292,1.1071731566956797e-12,3.076317023258225e-13
293,1.024989421164702e-12,2.847689260541923e-13
294,9.48926109104572e-13,2.6367565147814177e-13
295,8.784753951836387e-13,2.440665993678465e-13
296,8.131964278773437e-13,2.259632418535556e-13
297,7.528924559354815e-13,2.091625216609894e-13
298,6.97011829050305e-13,1.936715456905022e-13
299,6.452218563875868e-13,1.7926789025412544e-13
300,5.9733967820838e-13,1.659501531420122e-13
301,5.529358275015787e-13,1.5365218741465556e-13
302,5.119253516521306e-13,1.4224749901006332e-13
303,4.739315097668815e-13,1.3166015057629816e-13
304,4.3873682500160164e-13,1.2188291638725733e-13
305,4.0612457308608077e-13,1.1286299646297926e-13
306,3.760381263136382e-13,1.0444545912456958e-13
307,3.4807198018706997e-13,9.674451242419359e-14
308,3.222386587785543e-13,8.950578200249273e-14
309,2.982951235857508e-13,8.284549399949007e-14
310,2.7616062991205754e-13,7.677640746732187e-14
311,2.556886076370321e-13,7.104528226060735e-14
312,2.3668527567620316e-13,6.57310999740068e-14
313,2.1902986292193852e-13,6.090672850511252e-14
314,2.0291860315280977e-13,5.636334827229114e-14
315,1.8780979830304414e-13,5.217531094882407e-14
316,1.7383285584699998e-13,4.82823336024597e-14
317,1.6093417828437524e-13,4.469993229065041e-14
318,1.4896050811704382e-13,4.1410186349504384e-14
319,1.379518081312093e-13,3.8328643559406073e-14
320,1.277090984760025e-13,3.54891477171194e-14
321,1.1817511557960527e-13,3.2827715656236864e-14
322,1.0941694026326859e-13,3.042043059398176e-14
323,1.0137560925618678e-13,2.8134082264346888e-14
324,9.381718452729008e-14,2.608678616659074e-14
325,8.682553435643708e-14,2.4119699013694578e-14
326,8.042631330617218e-14,2.234085919457184e-14
327,7.443921484120969e-14,2.0664305650145703e-14
328,6.883479901751205e-14,1.916459688442326e-14
329,6.377818933696548e-14,1.77103029962778e-14
330,5.906078919602588e-14,1.639270472174965e-14
331,5.465505081852122e-14,1.5212619319842768e-14
