iteration,norm,normB
130,4.4120920728012073e-07,3.310978807744016e-08
131,3.9498652865426675e-07,2.9641068981191272e-08
132,3.536065220624669e-07,2.6535765165715225e-08
133,3.165617857186499e-07,2.375579843839653e-08
134,2.8339809098799857e-07,2.126708066310966e-08
135,2.5370880795207676e-07,1.9039096696573254e-08
136,2.271299156209459e-07,1.7044528215621974e-08
137,2.0333553680041741e-07,1.5258920179373132e-08
138,1.8203394082751992e-07,1.3660379502548373e-08
139,1.6296396298142322e-07,1.2229307531527438e-08
140,1.4589180385853544e-07,1.0948158709448734e-08
141,1.3060815914265977e-07,9.801226233109428e-09
142,1.169256546490161e-07,8.774448702248157e-09
143,1.046765477216591e-07,7.85523803306824e-09
144,9.37106699580185e-08,7.032325202309894e-09
145,8.389358564560363e-08,6.295621410433831e-09
146,7.510494426348858e-08,5.636095181733074e-09
147,6.723700311774708e-08,5.045661400427555e-09
148,6.019330846364501e-08,4.517081495255796e-09
149,5.388751059669323e-08,4.0438756337936696e-09
150,4.824230676799231e-08,3.620242868585279e-09
151,4.3188491920676953e-08,3.2409897585738026e-09
152,3.866411232419083e-08,2.901467024318469e-09
153,3.4613704015010456e-08,2.5975124568122786e-09
154,3.0987613481499954e-08,2.3254000352735024e-09
155,2.774138903053096e-08,2.0817939383005453e-09
156,2.4835236230462176e-08,1.863707794176214e-09
157,2.223352905932519e-08,1.6684680237471476e-09
158,1.9904374608383546e-08,1.4936815148457575e-09
159,1.7819219100638105e-08,1.3372054579546305e-09
160,1.5952502510096407e-08,1.1971217192702448e-09
161,1.4281340540107973e-08,1.0717127386676805e-09
162,1.2785248066584894e-08,9.594416608299133e-10
163,1.1445883676140872e-08,8.589320201173492e-10
164,1.0246829829185565e-08,7.689513999158981e-10
165,9.173386877978253e-09,6.883972225273757e-10
166,8.212396596939152e-09,6.162818048880021e-10
167,7.3520781522030735e-09,5.517211140328313e-10
168,6.581885447856143e-09,4.939235914790558e-10
169,5.892377271001558e-09,4.421807662506861e-10
170,5.275100838090261e-09,3.9585865371843193e-10
171,4.722489421762069e-09,3.5438923602955294e-10
172,4.227768440495053e-09,3.1726394788098906e-10
173,3.784874152973658e-09,2.8402780005951924e-10
174,3.388376523481575e-09,2.5427344097468523e-10
175,3.033415305380238e-09,2.276360873526271e-10
176,2.7156397884706626e-09,2.0378941473722892e-10
177,2.4311533876847366e-09,1.8244070689565085e-10
178,2.17646962467529e-09,1.633284454406347e-10
179,1.9484662380851127e-09,1.4621849608269355e-10
180,1.74434780937486e-09,1.309008359233464e-10
181,1.5616124553979866e-09,1.1718794616261347e-10
182,1.3980206638455738e-09,1.0491141093747396e-10
183,1.25156623670263e-09,9.39210419316404e-11
184,1.1204542000548202e-09,8.408217680268227e-11
185,1.0030770718339173e-09,7.527381991440388e-11
186,8.979962938791495e-10,6.7388195721011e-11
187,8.039236489631045e-10,6.03287001433536e-11
188,7.197060654921459e-10,5.400875651999016e-11
189,6.443103081307027e-10,4.8350929447569024e-11
190,5.768139198786416e-10,4.328569100476712e-11
191,5.163877613475589e-10,3.8751216206440266e-11
192,4.6229159501333476e-10,3.4691682436150294e-11
193,4.138626919543494e-10,3.1057491122102314e-11
194,3.7050699159662027e-10,2.7803999495094007e-11
195,3.3169346886040523e-10,2.4891176414205045e-11
196,2.9694581876623994e-10,2.2283569026647738e-11
197,2.658382184695022e-10,1.9949368076479937e-11
198,2.3798918939729913e-10,1.785937731175435e-11
199,2.1305807868763824e-10,1.5988521694362128e-11
200,1.9073833869000105e-10,1.4313491287639074e-11
201,1.7075688386483765e-10,1.2814088581450099e-11
202,1.528687598495662e-10,1.1471765532555016e-11
203,1.3685427702475134e-10,1.026993470182862e-11
204,1.2251776622075798e-10,9.19398807208961e-12
